orthographe	phonetique
A	a
A7	asEt
ABB	abebe
ABCD	abesede
ABM	abeEm
ABS	abeEs
ACCT	asesete
ADN	adeEn
AELE	a@El9
AFP	aEfpe
AGEFI	aZefi
ALENA	alena
ANPE	aEnpe9
AOC	aose
ASCII	aski
ASP	aEspe
ATT	atete
AVS	aveEs
Abidjan	abidZa~
gravat	gRava
ripou	Ripu
Académie	akademi
Académies	akademi
Acropole	akROpOl
Adam	ada~
Addis-Abeba	adisabeba
Adriatique	adRijatik
Afghanistan	afganista~
Africain	afRike~
Africains	afRike~
Afrique	afRik
Agence	aZa~s
Agences	aZa~s
Agnès	anjEs
Airbus	ERbys
Ajaccio	aZaksjo
Alabama	alabama
Alain	ale~
Alaska	alaska
Albanie	albani
Albert	albER
Alberta	albERta
Albertville	albERvil
Alcatel	alkatEl
Alcron	alkRo~
Alexandrie	alEksa~dRi
Alexie	alEksi
Alger	alZe
Algérie	alZeRi
Algérien	alZeRje~
Algérienne	alZeRjEn
Algériennes	alZeRjEn
Algériens	alZeRje~
Alicante	alika~t
Aline	alin
Allah	ala
Allard	alaR
Allemagne	al@manj
Allemagnes	al@manj
Allemand	al@ma~
Allemande	al@ma~d
Allemandes	al@ma~d
Allemands	al@ma~
Allégret	alegRE
Alpes	alp
Alsace	alzas
Alsacien	alzasje~
Alsacienne	alzasjEn
Alsaciennes	alzasjEn
Alsaciens	alzasje~
Altesse	altEs
Altesses	altEs
Alzheimer	alzajm9R
Amadeus	amadeys
Amazone	amazon
Amazonie	amazOni
Amsterdam	amstERdam
Amélie	ameli
Américain	ameRike~
Américaine	ameRikEn
Américaines	ameRikEn
Américains	ameRike~
Amérindien	ameRe~dje~
Amérindiens	ameRe~dje~
Amérique	ameRik
Amériques	ameRik
Anatolie	anatOli
Ancône	a~kon
Andes	a~d
Andorran	a~dORa~
Andorrans	a~dORa~
Andorre	a~dOR
André	andRe
Angers	a~Ze
Anglais	a~glE
Anglaise	a~glEz
Anglaises	a~glEz
Angleterre	a~gl@tER
Angola	a~gOla
Angolais	a~gOlE
Angolaise	a~gOlEz
Angolaises	a~gOlEz
Ankara	a~kaRa
Annapurna	anapuRna
Annaud	ano
Anne	an
Annemasse	an@mas
Antarctique	a~taRktik
Antilles	a~tij
Antoine	a~twan
Anvers	a~vER
Apollon	apOlo~
Aquitaine	akitEn
Arabe	aRab
Arabes	aRab
Arabie	aRabi
Aragon	aRago~
Arctique	aRtik
Argentine	aRZa~tin
Arizona	aRizOna
Arkansas	aRka~sas
Arménie	aRmeni
Arménien	aRmenje~
Arméniens	aRmenje~
Asiatique	asjatik
Asiatiques	asjatik
Asie	azi
Assemblée	asa~ble
Assemblées	asa~ble
Association	asosjasjo~
Associations	asosjasjo~
Assurance	asyRa~s
Assurances	asyRa~s
Atchoum	atSum
Athènes	atEn
Atlanta	atla~ta
Atlantique	atla~tik
Atlas	atlas
Aurillac	oRijak
Australie	ostRali
Australien	ostRalje~
Australienne	ostRaljEn
Australiennes	ostRaljEn
Australiens	ostRalje~
Autosécur	otOsekyR
Autriche	otRiS
Autrichien	otRiSje~
Autrichienne	otRiSjEn
